Id,Sample #,Time,parent,voltage [V],temp [C],light,adc2 [V],adc3 [V],adc4 [V],adc5 [V],adc6 [V]
13,,9/24/2015 12:35:00 AM,0,3.0471,27.947,1,0.43189,0.48551,0.48253,0.49742,0.52423
24,,9/24/2015 12:35:01 AM,20,2.9537,29.137,369,0.56879,0.45907,0.45907,0.47928,0.58611
53,,9/24/2015 12:35:05 AM,24,2.9192,21.246,724,1.1443,0.61067,0.50223,0.51079,0.77333
40,,9/24/2015 12:35:14 AM,24,2.7707,32.625,755,1.1619,0.68793,0.55522,0.63376,0.72585
3,,9/24/2015 12:35:16 AM,0,3.0105,28.286,667,1.1359,0.68567,0.55324,0.50616,0.51793
20,,9/24/2015 12:35:20 AM,0,2.9537,29.052,490,0.78533,0.59477,0.51104,0.71026,0.86906
54,,9/24/2015 12:35:35 AM,24,2.4037,-273.15,720,1.0856,0.88349,0.50049,0.94693,1.0879
10,,9/24/2015 12:35:57 AM,0,2.8527,15.436,692,1.4807,1.0346,0.78081,0.7836,0.81706
11,,9/24/2015 12:35:57 AM,0,3.0323,29.137,0,1.4732,0.74697,0.55133,0.57505,0.61951
13,,9/24/2015 12:35:57 AM,0,3.0323,27.947,1,0.42387,0.48316,0.48019,0.49205,0.51873
24,,9/24/2015 12:36:01 AM,20,2.9606,29.137,380,0.57592,0.45437,0.46016,0.48042,0.57882
53,,9/24/2015 12:36:03 AM,24,2.9192,21.246,721,1.1471,0.61923,0.50223,0.51079,0.77333
40,,9/24/2015 12:36:12 AM,24,2.7768,32.625,750,1.1455,0.67317,0.54831,0.63517,0.72746
3,,9/24/2015 12:36:15 AM,0,3.0105,28.286,661,1.1212,0.67684,0.5503,0.50616,0.52381
20,,9/24/2015 12:36:20 AM,0,2.9537,29.052,494,0.79399,0.59766,0.51104,0.70449,0.86329
54,,9/24/2015 12:36:33 AM,24,2.4037,-273.15,722,1.0832,0.87409,0.48169,0.94458,1.0832
255,,9/24/2015 12:36:35 AM,0,2.9537,29.91,425,0.84885,1.1434,1.0279,0.81709,0.72759
10,,9/24/2015 12:36:55 AM,0,2.8527,15.684,694,1.4501,1.0151,0.77802,0.77802,0.81148
13,,9/24/2015 12:36:56 AM,0,3.0471,27.863,1,0.42594,0.48551,0.48253,0.49444,0.51529
11,,9/24/2015 12:36:57 AM,0,3.0471,29.137,0,1.4684,0.74762,0.55104,0.57784,0.61359
24,,9/24/2015 12:36:59 AM,20,2.9537,29.137,379,0.57745,0.4533,0.46196,0.48217,0.57745
53,,9/24/2015 12:37:02 AM,24,2.9192,21.083,730,1.1471,0.61923,0.50223,0.51365,0.77047
40,,9/24/2015 12:37:09 AM,24,2.7768,32.625,752,1.1536,0.67317,0.54831,0.63517,0.72746
3,,9/24/2015 12:37:13 AM,0,2.9818,28.201,664,1.1193,0.67622,0.54506,0.50425,0.52174
20,,9/24/2015 12:37:18 AM,0,2.9537,29.052,479,0.77378,0.59189,0.50816,0.69583,0.85463
54,,9/24/2015 12:37:30 AM,24,2.4037,-273.15,912,1.3182,0.98453,0.53573,0.94928,1.0879
255,,9/24/2015 12:37:35 AM,0,2.9537,29.996,429,0.8604,1.1462,1.0336,0.81998,0.73048
10,,9/24/2015 12:37:54 AM,0,2.8527,15.684,700,1.4501,1.0151,0.77802,0.77244,0.80869
13,,9/24/2015 12:37:54 AM,0,3.0323,27.863,1,0.41795,0.4713,0.47723,0.48909,0.50687
11,,9/24/2015 12:37:54 AM,0,3.0471,29.052,0,1.4565,0.74167,0.55104,0.57784,0.62252
24,,9/24/2015 12:37:58 AM,20,2.9537,29.137,376,0.57456,0.45041,0.45907,0.47928,0.57168
53,,9/24/2015 12:38:02 AM,24,2.9192,20.92,739,1.1586,0.61638,0.50223,0.51079,0.77618
3,,9/24/2015 12:38:12 AM,0,2.9961,28.201,666,1.1246,0.67653,0.54767,0.50666,0.52424
20,,9/24/2015 12:38:16 AM,0,2.9537,29.052,486,0.78245,0.59766,0.51393,0.71026,0.86906
54,,9/24/2015 12:38:32 AM,24,2.4037,-273.15,722,1.0738,0.84824,0.45349,0.93753,1.0738
255,,9/24/2015 12:38:32 AM,0,2.9537,30.082,424,0.84885,1.1405,1.0221,0.81132,0.7247
10,,9/24/2015 12:38:52 AM,0,2.8527,15.354,687,1.3831,0.98438,0.76408,0.77523,0.81427
13,,9/24/2015 12:38:53 AM,0,3.0471,27.863,1,0.42296,0.48253,0.48253,0.49444,0.51827
11,,9/24/2015 12:38:53 AM,0,3.0471,29.052,0,1.4446,0.73571,0.55104,0.57487,0.61359
24,,9/24/2015 12:38:56 AM,20,2.9537,29.137,401,0.60632,0.45619,0.45907,0.47928,0.56879
53,,9/24/2015 12:38:59 AM,24,2.9192,21.736,721,1.1785,0.63635,0.50223,0.52506,0.77903
3,,9/24/2015 12:39:10 AM,0,3.0105,28.201,664,1.1271,0.67684,0.54736,0.5091,0.52676
20,,9/24/2015 12:39:16 AM,0,2.9537,29.052,504,0.81421,0.60632,0.51393,0.70449,0.86329
54,,9/24/2015 12:39:27 AM,24,2.4037,-273.15,726,1.0738,0.84354,0.44879,0.93518,1.0738
255,,9/24/2015 12:39:31 AM,0,2.9537,30.082,416,0.84597,1.1578,1.0538,0.84597,0.7478
