Id,Sample #,Time,parent,voltage [V],temp,light,adc2 [V],adc3 [V],adc4 [V],adc5 [V],adc6 [V]
20,,9/24/2015 8:21:06 AM,0,2.9398,29.308,128,0.47703,0.57187,0.59486,1.0029,1.1006
54,,9/24/2015 8:21:18 AM,0,2.3946,-273.15,423,0.61327,0.83798,0.78648,0.82393,0.86372
255,,9/24/2015 8:21:22 AM,0,2.9261,29.738,556,1.27,1.3071,1.1441,0.94103,0.78085
10,,9/24/2015 8:21:41 AM,0,2.8398,29.566,368,0.68566,0.55519,0.45803,0.51078,0.54964
13,,9/24/2015 8:21:42 AM,0,3.0397,25.768,791,1.2658,0.65667,0.50216,0.49919,0.51701
11,,9/24/2015 8:21:43 AM,0,3.025,27.105,631,1.2774,0.68011,0.52634,0.54704,0.57366
24,,9/24/2015 8:21:45 AM,10,2.9398,29.308,143,0.42531,0.43393,0.45404,0.47703,0.51439
53,,9/24/2015 8:21:49 AM,24,2.8593,23.21,7,0.44719,0.43881,0.46396,0.52825,0.7239
40,,9/24/2015 8:21:56 AM,20,2.7707,31.827,226,0.59043,0.52272,0.5498,0.65543,0.73939
3,,9/24/2015 8:22:00 AM,0,2.9889,29.652,402,1.1015,1.0664,1.0577,0.6457,0.5522
20,,9/24/2015 8:22:05 AM,0,2.9261,29.308,82,0.45478,0.56061,0.59494,1.004,1.1041
54,,9/24/2015 8:22:17 AM,0,2.3946,-273.15,421,0.60859,0.83564,0.78414,0.81925,0.85904
255,,9/24/2015 8:22:21 AM,0,2.9261,29.738,555,1.2585,1.2986,1.1384,0.92959,0.77227
11,,9/24/2015 8:22:40 AM,0,3.0323,27.105,743,1.4495,0.76179,0.53948,0.53948,0.57208
10,,9/24/2015 8:22:41 AM,0,2.8398,29.48,446,0.80503,0.57462,0.46358,0.51355,0.55241
13,,9/24/2015 8:22:41 AM,0,3.0397,25.768,860,1.3757,0.71312,0.5081,0.49919,0.51701
24,,9/24/2015 8:22:44 AM,10,2.9398,29.308,316,0.51727,0.44255,0.45404,0.47416,0.51439
53,,9/24/2015 8:22:47 AM,24,2.8593,23.046,17,0.42204,0.42763,0.46676,0.51427,0.7211
40,,9/24/2015 8:22:53 AM,20,2.7707,31.827,229,0.5796,0.51189,0.54439,0.65543,0.7421
3,,9/24/2015 8:22:58 AM,0,2.9889,29.652,493,1.3381,1.2651,1.2388,0.74504,0.57265
20,,9/24/2015 8:23:03 AM,0,2.9261,29.308,194,0.50341,0.56633,0.58922,0.99823,1.0926
54,,9/24/2015 8:23:15 AM,0,2.3946,-273.15,490,0.67179,0.86841,0.79818,0.82627,0.86138
255,,9/24/2015 8:23:19 AM,0,2.9261,29.738,631,1.4158,1.3787,1.187,0.96105,0.78657
